edge
"(1, 3)"
"(1, 4)"
"(2, 4)"
"(2, 11)"
"(5, 6)"
"(5, 16)"
"(6, 7)"
"(7, 9)"
"(8, 10)"
"(9, 22)"
"(10, 21)"
"(11, 12)"
"(13, 14)"
"(13, 15)"
"(14, 15)"
"(16, 17)"
"(17, 18)"
"(18, 19)"
"(19, 20)"
"(20, 22)"
"(21, 23)"
"(23, 24)"
"(24, 25)"
"(25, 48)"
"(26, 27)"
"(26, 28)"
"(27, 29)"
"(28, 29)"
"(30, 31)"
"(30, 32)"
"(31, 33)"
"(32, 34)"
"(33, 37)"
"(34, 44)"
"(35, 37)"
"(36, 38)"
"(36, 89)"
"(38, 40)"
"(39, 40)"
"(39, 77)"
"(41, 42)"
"(41, 46)"
"(42, 43)"
"(43, 44)"
"(45, 75)"
"(45, 77)"
"(46, 47)"
"(47, 51)"
"(48, 49)"
"(49, 50)"
"(51, 52)"
"(52, 53)"
"(53, 54)"
"(54, 59)"
"(55, 56)"
"(55, 57)"
"(56, 58)"
"(57, 59)"
"(58, 68)"
"(60, 61)"
"(60, 64)"
"(61, 62)"
"(62, 63)"
"(63, 69)"
"(64, 65)"
"(65, 66)"
"(66, 67)"
"(67, 70)"
"(68, 69)"
"(70, 71)"
"(71, 72)"
"(72, 73)"
"(73, 74)"
"(75, 76)"
"(76, 78)"
"(78, 80)"
"(79, 84)"
"(79, 94)"
"(80, 81)"
"(81, 82)"
"(82, 83)"
"(83, 88)"
"(84, 85)"
"(85, 96)"
"(86, 87)"
"(86, 88)"
"(87, 98)"
"(89, 90)"
"(90, 91)"
"(92, 93)"
"(92, 95)"
"(93, 95)"
"(94, 96)"
"(97, 99)"
"(98, 100)"
"(99, 101)"
"(100, 101)"
