edge
"(1, 2)"
"(2, 3)"
"(2, 5)"
"(3, 4)"
"(4, 5)"
"(6, 7)"
"(6, 8)"
"(7, 10)"
"(8, 9)"
"(9, 10)"
"(11, 12)"
"(11, 13)"
"(12, 31)"
"(13, 14)"
"(14, 15)"
"(15, 49)"
"(16, 17)"
"(16, 18)"
"(17, 19)"
"(18, 20)"
"(19, 49)"
"(21, 22)"
"(21, 23)"
"(22, 26)"
"(23, 24)"
"(23, 25)"
"(24, 25)"
"(26, 27)"
"(27, 36)"
"(28, 29)"
"(28, 30)"
"(29, 37)"
"(30, 35)"
"(31, 32)"
"(32, 33)"
"(33, 34)"
"(34, 48)"
"(35, 47)"
"(36, 37)"
"(38, 39)"
"(38, 44)"
"(40, 41)"
"(40, 44)"
"(42, 43)"
"(42, 45)"
"(43, 46)"
"(45, 46)"
"(47, 48)"
