edge
"(1, 2)"
"(1, 3)"
"(3, 4)"
"(4, 5)"
"(5, 31)"
"(6, 7)"
"(6, 8)"
"(7, 10)"
"(8, 9)"
"(9, 10)"
"(11, 12)"
"(11, 16)"
"(12, 17)"
"(13, 14)"
"(13, 15)"
"(14, 15)"
"(16, 17)"
"(18, 19)"
"(18, 20)"
"(19, 20)"
"(21, 22)"
"(21, 23)"
"(22, 54)"
"(23, 25)"
"(24, 25)"
"(24, 55)"
"(26, 27)"
"(26, 30)"
"(27, 29)"
"(28, 30)"
"(29, 32)"
"(31, 32)"
"(33, 34)"
"(33, 40)"
"(34, 40)"
"(35, 36)"
"(35, 39)"
"(36, 39)"
"(37, 38)"
"(37, 44)"
"(38, 44)"
"(41, 42)"
"(41, 45)"
"(42, 43)"
"(43, 49)"
"(45, 46)"
"(46, 48)"
"(47, 48)"
"(47, 49)"
"(50, 51)"
"(50, 52)"
"(51, 53)"
"(52, 53)"
"(54, 56)"
"(55, 57)"
"(56, 57)"
"(58, 59)"
"(59, 60)"
"(60, 61)"
